epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4636.32,0.90893,0.80364,1.06209,0.85563,0.80735,0.89532,0.67694,0.99586,1.00727,1.13761,0.000540037,0.000540037,0.000540037
43,4754.22,0.87544,0.79208,1.05166,0.74159,0.826,0.87847,0.61265,1.05399,1.11116,1.16781,0.000531038,0.000531038,0.000531038
44,4865.84,0.88597,0.79423,1.04602,0.75389,0.84965,0.82801,0.61227,1.04092,1.04532,1.1231,0.000522039,0.000522039,0.000522039
45,5007.52,0.9015,0.79591,1.07158,0.75666,0.87709,0.86196,0.61906,1.03846,1.02614,1.09561,0.00051304,0.00051304,0.00051304
46,5121.25,0.91677,0.77531,1.05392,0.81906,0.8379,0.86973,0.64131,1.06496,0.93906,1.12245,0.00050404,0.00050404,0.00050404
47,5210.32,0.86838,0.73519,1.04287,0.78058,0.83625,0.89537,0.63294,1.06233,0.93716,1.12445,0.000495041,0.000495041,0.000495041
48,5302.33,0.87906,0.75736,1.04159,0.80281,0.83581,0.839,0.60473,1.07558,1.01825,1.17464,0.000486042,0.000486042,0.000486042
49,5414.73,0.8786,0.74505,1.04046,0.78468,0.8796,0.86987,0.64893,1.02464,0.96823,1.11715,0.000477043,0.000477043,0.000477043
50,5504.13,0.90293,0.74088,1.04996,0.67263,0.8193,0.85066,0.62398,1.00555,0.96629,1.09441,0.000468044,0.000468044,0.000468044
51,5590.96,0.86103,0.76719,1.05234,0.80483,0.83353,0.86919,0.65205,0.99313,1.01688,1.06392,0.000459045,0.000459045,0.000459045
52,5692.31,0.85619,0.73528,1.03626,0.82363,0.86304,0.87642,0.64018,1.09012,0.99604,1.14909,0.000450046,0.000450046,0.000450046
53,5855.43,0.85338,0.71845,1.02865,0.76906,0.84763,0.85355,0.63959,1.05482,1.00537,1.15324,0.000441047,0.000441047,0.000441047
54,5994.99,0.85147,0.75039,1.02491,0.70279,0.83914,0.84718,0.61288,1.11926,0.97355,1.23679,0.000432048,0.000432048,0.000432048
55,6141.05,0.85379,0.72036,1.0368,0.788,0.85863,0.83428,0.58181,1.12863,1.02285,1.21504,0.000423049,0.000423049,0.000423049
56,6285.23,0.87306,0.70809,1.04461,0.70302,0.85089,0.83942,0.60951,1.10719,0.984,1.17484,0.000414049,0.000414049,0.000414049
57,6394.46,0.84297,0.69426,1.02973,0.75298,0.85291,0.8721,0.65097,1.01166,1.01688,1.10363,0.00040505,0.00040505,0.00040505
58,6532.36,0.84706,0.69974,1.03089,0.77268,0.85462,0.84886,0.63794,1.0285,1.02801,1.10028,0.000396051,0.000396051,0.000396051
59,6814.02,0.84058,0.68111,1.01592,0.84737,0.83984,0.90134,0.66797,0.97897,0.95699,1.06952,0.000387052,0.000387052,0.000387052
60,7075.28,0.83131,0.67877,1.03047,0.79777,0.87412,0.85423,0.61882,1.0417,1.01643,1.11971,0.000378053,0.000378053,0.000378053
61,7340.56,0.82528,0.68417,1.01767,0.82626,0.86058,0.86142,0.64151,1.07386,1.01514,1.16292,0.000369054,0.000369054,0.000369054
62,7528.4,0.82593,0.68149,1.03529,0.68334,0.84609,0.87191,0.64022,1.07791,1.02428,1.16206,0.000360055,0.000360055,0.000360055
63,7718.59,0.81832,0.68082,1.01355,0.7367,0.85416,0.89198,0.67046,1.03083,0.98766,1.14097,0.000351056,0.000351056,0.000351056
64,7903.51,0.77722,0.67463,1.01422,0.86987,0.80195,0.87924,0.64077,1.0445,1.0589,1.16157,0.000342057,0.000342057,0.000342057
65,8954.86,0.83128,0.67701,1.02125,0.75866,0.81052,0.82303,0.60198,1.06892,0.96179,1.18458,0.000333058,0.000333058,0.000333058
66,9142.31,0.79,0.66176,1.01108,0.95174,0.62534,0.85591,0.61652,1.12964,1.00907,1.22251,0.000324058,0.000324058,0.000324058
67,9358.05,0.81244,0.66435,1.02212,0.74046,0.86887,0.83444,0.61287,1.06247,1.07023,1.17335,0.000315059,0.000315059,0.000315059
68,9521.92,0.80194,0.65192,1.00986,0.85169,0.80006,0.83686,0.61803,1.03577,0.99294,1.12503,0.00030606,0.00030606,0.00030606
69,9687.23,0.80379,0.63392,1.01299,0.7512,0.82926,0.85916,0.63905,1.05576,0.97766,1.16174,0.000297061,0.000297061,0.000297061
70,9871.56,0.81205,0.66968,1.01627,0.78122,0.8238,0.86664,0.63451,1.09478,0.96677,1.17256,0.000288062,0.000288062,0.000288062
71,10058,0.7829,0.64045,1.01423,0.78763,0.84978,0.843,0.61529,1.06469,0.94622,1.16374,0.000279063,0.000279063,0.000279063
72,10225,0.80039,0.64829,1.0104,0.70505,0.87713,0.82583,0.62053,1.06713,0.97061,1.16853,0.000270064,0.000270064,0.000270064
73,10401.8,0.77063,0.62081,1.01662,0.69672,0.87323,0.82939,0.62225,1.05401,0.99151,1.21,0.000261065,0.000261065,0.000261065
74,10587.4,0.80391,0.6236,1.02654,0.79931,0.83263,0.83097,0.62506,1.04922,1.00913,1.17366,0.000252066,0.000252066,0.000252066
75,10707,0.77866,0.61842,0.99651,0.82355,0.81471,0.83374,0.62089,1.04631,1.01721,1.14687,0.000243067,0.000243067,0.000243067
76,10836.5,0.76965,0.61704,0.9983,0.82525,0.79093,0.85706,0.63892,1.01639,0.94387,1.15523,0.000234068,0.000234068,0.000234068
77,10964.2,0.78063,0.64611,1.00737,0.76337,0.85826,0.87025,0.65309,1.03367,0.86754,1.1657,0.000225068,0.000225068,0.000225068
78,11073,0.76185,0.62792,0.99853,0.79043,0.81095,0.82498,0.62272,1.08056,1.03356,1.18716,0.000216069,0.000216069,0.000216069
79,11195.6,0.77098,0.59821,1.00259,0.82877,0.78714,0.82123,0.61404,1.02946,0.91288,1.19608,0.00020707,0.00020707,0.00020707
